iter	Passed	Remaining
0	0	172
1	0	148
2	1	146
3	2	152
4	2	152
5	3	165
6	3	164
7	4	160
8	4	155
9	5	153
10	5	151
11	6	149
12	6	150
13	7	149
14	7	150
15	8	148
16	8	147
17	9	144
18	9	143
19	10	144
20	11	146
21	11	142
22	11	140
23	12	141
24	12	140
25	13	143
26	14	143
27	14	141
28	15	147
29	16	146
30	16	145
31	17	145
32	17	144
33	18	143
34	18	142
35	19	142
36	19	141
37	20	138
38	20	137
39	21	137
40	21	137
41	22	137
42	22	136
43	23	135
44	23	134
45	24	132
46	24	132
47	24	131
48	25	131
49	26	130
50	26	130
51	27	130
52	27	129
53	28	129
54	28	128
55	29	127
56	29	127
57	30	127
58	31	126
59	31	125
60	32	125
61	32	125
62	34	129
63	35	129
64	35	128
65	35	127
66	36	126
67	36	125
68	37	124
69	37	124
70	46	148
71	47	151
72	49	153
73	51	158
74	53	159
75	57	168
76	58	170
77	60	172
78	63	177
79	65	180
80	68	185
81	70	186
82	72	189
83	75	194
84	79	200
85	80	199
86	81	199
87	83	200
88	84	201
89	87	203
90	89	204
91	91	206
92	92	206
93	96	211
94	97	209
95	97	207
96	98	205
97	98	203
98	99	201
99	99	199
100	100	197
101	100	195
102	101	193
103	102	192
104	102	190
105	103	188
106	103	186
107	103	184
108	104	183
109	105	181
110	106	181
111	108	182
112	110	182
113	111	182
114	113	182
115	114	182
116	115	181
117	116	179
118	117	178
119	118	177
120	118	175
121	119	173
122	119	172
123	120	170
124	120	168
125	121	167
126	122	166
127	122	164
128	123	163
129	123	161
130	124	160
131	126	160
132	126	158
133	127	157
134	127	155
135	127	154
136	128	152
137	128	151
138	129	149
139	129	148
140	130	146
141	130	145
142	131	143
143	131	142
144	131	141
145	132	139
146	132	138
147	133	136
148	133	135
149	134	134
150	134	133
151	135	131
152	135	130
153	136	129
154	136	128
155	137	126
156	137	125
157	138	124
158	138	123
159	139	121
160	139	120
161	140	119
162	140	118
163	141	117
164	141	115
165	142	114
166	142	113
167	143	112
168	143	111
169	144	110
170	144	109
171	145	107
172	145	106
173	146	105
174	146	104
175	147	103
176	147	102
177	148	101
178	148	100
179	148	99
180	149	98
181	150	97
182	150	96
183	151	95
184	151	94
185	152	93
186	152	92
187	153	91
188	153	90
189	154	89
190	154	88
191	155	87
192	155	86
193	156	85
194	156	84
195	157	83
196	157	82
197	158	81
198	158	80
199	159	79
200	159	78
201	160	77
202	160	76
203	161	75
204	161	74
205	162	73
206	162	73
207	163	72
208	163	71
209	164	70
210	164	69
211	164	68
212	165	67
213	165	66
214	166	65
215	166	64
216	167	64
217	167	63
218	168	62
219	168	61
220	169	60
221	169	59
222	170	58
223	170	57
224	171	57
225	171	56
226	172	55
227	172	54
228	173	53
229	173	52
230	173	51
231	174	51
232	175	50
233	175	49
234	175	48
235	176	47
236	176	47
237	177	46
238	177	45
239	178	44
240	178	43
241	179	43
242	179	42
243	180	41
244	180	40
245	181	39
246	181	38
247	182	38
248	182	37
249	183	36
250	183	35
251	184	35
252	184	34
253	186	33
254	186	32
255	187	32
256	187	31
257	187	30
258	188	29
259	188	29
260	189	28
261	189	27
262	190	26
263	190	25
264	191	25
265	191	24
266	192	23
267	192	22
268	193	22
269	193	21
270	193	20
271	194	20
272	194	19
273	195	18
274	195	17
275	196	17
276	196	16
277	197	15
278	198	14
279	198	14
280	199	13
281	199	12
282	200	12
283	200	11
284	201	10
285	201	9
286	202	9
287	202	8
288	203	7
289	203	7
290	203	6
291	204	5
292	204	4
293	205	4
294	205	3
295	206	2
296	206	2
297	207	1
298	207	0
299	208	0
